truckingcompanyid,productid,distanceinmiles,fuelcost,linehaulcost,source,destination
8820,7,2724.96,4.79,107.39,San Jose,Kansas City
1768,21,97.32,5.86,1719.31,San Antonio,Philadelphia
7135,20,3308.88,5.12,106.26,Virginia Beach,San Jose
9256,13,2627.64,5.42,344.17,Houston,Milwaukee
6268,5,486.6,5.39,1581.53,Fort Worth,San Diego
3210,14,97.32,3.98,12212.21,Mesa,Fresno
7442,10,2627.64,7.59,78.17,Raleigh,Columbus
1218,12,389.28,7.38,2635.79,Raleigh,Oakland
7258,21,973.2,6.13,493.86,Seattle,San Diego
3973,10,194.64,4.53,6384.16,Los Angeles,Houston
4555,10,1654.44,5.86,231.96,Arlington,Albuquerque
5644,5,4379.4,5.47,108.18,Chicago,Tampa
3608,4,1946.4,6.4,408.02,Boston,Raleigh
9237,23,1167.84,5.92,518.61,Mesa,Tulsa
8533,18,1557.12,5.04,604.03,New Orleans,Fresno
6971,21,1265.16,5.18,802.87,San Francisco,Louisville
6970,17,3406.2,5.55,105.45,San Jose,Oakland
9299,20,291.96,4.93,659.72,Oklahoma City,El Paso
5602,16,3503.52,5.82,140.15,Houston,Omaha
5969,12,1265.16,4.35,253.39,Phoenix,Seattle
2071,17,2919.6,5.12,535.44,San Diego,Kansas City
6638,19,2724.96,5.56,136.53,San Jose,Kansas City
8929,21,1946.4,6.82,966.17,Sacramento,San Francisco
2565,16,1557.12,4.6,423.67,Tucson,Arlington
1329,10,3016.92,4.18,282.93,Atlanta,Philadelphia
2119,1,3600.84,6.41,509.89,Houston,Raleigh
6000,7,2627.64,6.37,373.21,Raleigh,Columbus
2919,15,389.28,5.27,283.32,Denver,Charlotte
8154,19,1362.48,4.73,500.94,Dallas,Nashville
1151,22,2919.6,6.08,303.84,Omaha,San Jose
6042,19,3600.84,3.72,62.06,Colorado Springs,Los Angeles
3390,10,3211.56,5.05,128.61,Dallas,Miami
2460,23,2238.36,5.78,115.42,Louisville,Philadelphia
9205,17,3406.2,5.78,80.94,Colorado Springs,Houston
2210,18,875.88,6.0,705.05,Washington,Louisville
5304,15,1557.12,5.31,361.46,Memphis,Virginia Beach
6380,14,3016.92,3.63,91.94,San Jose,Raleigh
7361,18,4282.08,4.72,42.82,New Orleans,Philadelphia
6040,3,2141.04,7.64,105.76,Arlington,Las Vegas
9970,9,1751.76,4.49,464.51,San Diego,Portland
3205,21,1070.52,4.59,717.93,Oklahoma City,Columbus
5717,15,3114.24,5.68,20.96,Omaha,San Diego
2959,8,1557.12,5.7,772.35,Boston,Atlanta
3458,5,3016.92,5.96,358.54,Houston,Mesa
3743,7,4184.76,6.66,209.38,New Orleans,San Antonio
6507,1,2433.0,5.66,67.94,Tampa,Nashville
8455,14,2822.28,5.54,381.11,Fresno,Phoenix
6022,9,389.28,4.3,1217.02,Atlanta,Raleigh
5616,17,681.24,6.05,820.38,San Jose,Indianapolis
1922,4,97.32,3.75,7226.19,Milwaukee,Albuquerque
1338,24,1070.52,4.29,509.73,Tulsa,Sacramento
1808,19,1070.52,6.3,778.43,San Jose,Boston
5075,13,875.88,5.09,490.68,Mesa,Portland
9622,6,1167.84,5.62,222.55,Portland,Columbus
4732,11,2822.28,7.2,378.14,Washington,Arlington
1857,5,2919.6,5.57,86.36,San Jose,Omaha
5699,18,778.56,5.49,450.04,Jacksonville,Washington
8288,3,2238.36,7.19,85.48,Nashville,Minneapolis
6255,5,97.32,6.11,1064.57,Louisville,Baltimore
7157,1,2141.04,5.9,41.1,Atlanta,Charlotte
5697,8,1946.4,4.27,506.04,Minneapolis,Portland
1722,12,1557.12,6.71,154.55,Tampa,Albuquerque
4949,23,486.6,5.04,624.25,Long Beach,Tampa
6885,12,3600.84,5.81,108.86,Omaha,Chicago
5102,6,291.96,6.88,755.22,Sacramento,Tucson
1647,14,1167.84,5.51,747.57,Portland,Columbus
2381,10,1459.8,4.54,514.17,Memphis,Long Beach
2265,15,1265.16,4.45,393.73,Louisville,San Francisco
3960,14,291.96,6.13,733.76,Phoenix,San Diego
4719,7,2141.04,3.87,323.11,Fresno,Jacksonville
6034,13,2627.64,5.07,181.39,Boston,Tampa
7355,12,1557.12,5.06,663.44,Oklahoma City,Dallas
3979,2,2141.04,5.54,39.78,Tulsa,Oklahoma City
2231,17,3114.24,6.12,181.15,Phoenix,Atlanta
9857,7,1946.4,5.73,297.81,El Paso,Miami
4862,16,291.96,7.22,1138.43,Nashville,Washington
4121,9,1654.44,7.02,74.58,San Diego,Oklahoma City
1417,8,3114.24,5.51,320.32,Dallas,Raleigh
6920,22,3503.52,5.29,159.88,Minneapolis,San Jose
3267,5,1557.12,5.38,21.55,Tulsa,Milwaukee
8916,7,486.6,7.67,625.52,Portland,Milwaukee
9672,6,2627.64,3.85,38.9,Louisville,Los Angeles
7745,16,2335.68,5.43,758.24,Houston,Memphis
1367,24,194.64,6.06,1583.15,Charlotte,Fort Worth
9472,23,1070.52,5.72,1100.05,El Paso,Austin
2096,12,486.6,5.91,870.74,Washington,Charlotte
2251,21,3114.24,4.65,246.59,Indianapolis,Arlington
7508,20,2433.0,3.9,216.68,Sacramento,Austin
3546,13,681.24,6.42,520.71,Louisville,Sacramento
6884,11,1557.12,6.09,425.84,Long Beach,Las Vegas
5477,17,2043.72,6.58,164.41,Colorado Springs,Seattle
7224,23,1459.8,4.09,139.67,Louisville,Virginia Beach
6016,24,875.88,4.45,150.07,Seattle,Dallas
4824,2,1557.12,7.18,21.3,Fresno,New Orleans
3784,5,97.32,4.99,3951.54,Atlanta,Kansas City
6678,5,875.88,5.19,318.33,Baltimore,Boston
3397,15,2919.6,5.8,137.02,Raleigh,Austin
5959,10,486.6,4.91,418.66,Portland,Milwaukee
4461,22,2335.68,4.17,217.23,San Antonio,Milwaukee
7767,23,973.2,5.03,183.43,Indianapolis,San Antonio
2723,1,1167.84,5.6,907.07,Charlotte,Chicago
9785,24,2627.64,5.08,386.48,Houston,Milwaukee
4082,21,1557.12,5.89,296.56,Tucson,Arlington
6701,24,1557.12,5.25,713.96,Oakland,Louisville
2130,1,1654.44,4.03,163.38,Kansas City,Boston
5624,10,1849.08,5.19,670.02,Louisville,Tampa
7575,6,1070.52,5.32,752.32,Sacramento,Tulsa
1405,22,389.28,3.21,1438.99,Portland,El Paso
8652,11,973.2,4.64,437.85,Oakland,Mesa
1337,22,97.32,5.62,2316.59,Tampa,Arlington
1721,16,2724.96,6.46,49.01,Indianapolis,Oakland
4319,5,973.2,4.19,406.95,Albuquerque,El Paso
2422,4,2335.68,4.92,412.79,Colorado Springs,Charlotte
9940,6,389.28,4.48,2418.25,Memphis,Detroit
4201,7,291.96,5.14,5292.26,Sacramento,Tucson
3171,24,97.32,5.08,4649.33,Minneapolis,Oakland
4472,2,2043.72,6.86,365.74,San Diego,Louisville
2741,15,1751.76,6.41,627.79,Boston,Colorado Springs
5350,20,1070.52,5.84,501.14,Miami,Milwaukee
5021,14,389.28,4.3,1766.59,San Antonio,Chicago
7725,13,1362.48,4.99,92.63,Indianapolis,Chicago
6748,10,3211.56,3.17,84.18,Arlington,San Francisco
9003,13,583.92,5.49,1538.14,Sacramento,Baltimore
2514,23,291.96,5.06,2379.89,Atlanta,Fresno
7145,11,389.28,5.05,725.45,San Jose,Columbus
2296,19,778.56,3.98,607.85,New Orleans,Miami
2964,24,1265.16,4.83,110.26,Boston,Fresno
7288,19,2141.04,4.19,52.04,Seattle,Omaha
8397,5,2043.72,5.19,249.6,Minneapolis,Oklahoma City
1706,16,1751.76,5.37,217.88,Raleigh,Nashville
9127,5,3211.56,5.79,189.94,Kansas City,Phoenix
7041,24,1557.12,5.12,234.62,Oakland,Louisville
6358,15,2627.64,5.91,298.96,El Paso,Arlington
5754,23,1459.8,5.82,428.71,Columbus,Louisville
